scenario_id,scenario_name,projection_year,claim_type,annual_inflation_rate,base_scenario_inflation_rate,cumulative_base_inflation_factor,notes
BASE,Base Case,2026,bodily_injury,0.036,0.03,1.03,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2026,property_damage,0.027,0.03,1.03,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2026,vehicle_repair,0.033,0.03,1.03,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2026,general,0.03,0.03,1.03,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2027,bodily_injury,0.036,0.03,1.0609,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2027,property_damage,0.027,0.03,1.0609,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2027,vehicle_repair,0.033,0.03,1.0609,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2027,general,0.03,0.03,1.0609,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2028,bodily_injury,0.0336,0.028,1.090605,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2028,property_damage,0.0252,0.028,1.090605,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2028,vehicle_repair,0.0308,0.028,1.090605,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2028,general,0.028,0.028,1.090605,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2029,bodily_injury,0.0324,0.027,1.120052,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2029,property_damage,0.0243,0.027,1.120052,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2029,vehicle_repair,0.0297,0.027,1.120052,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2029,general,0.027,0.027,1.120052,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2030,bodily_injury,0.03,0.025,1.148053,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2030,property_damage,0.0225,0.025,1.148053,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2030,vehicle_repair,0.0275,0.025,1.148053,Illustrative assumption for projecting claim severities by scenario and claim type.
BASE,Base Case,2030,general,0.025,0.025,1.148053,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2026,bodily_injury,0.018,0.015,1.015,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2026,property_damage,0.0135,0.015,1.015,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2026,vehicle_repair,0.0165,0.015,1.015,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2026,general,0.015,0.015,1.015,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2027,bodily_injury,0.0204,0.017,1.032255,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2027,property_damage,0.0153,0.017,1.032255,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2027,vehicle_repair,0.0187,0.017,1.032255,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2027,general,0.017,0.017,1.032255,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2028,bodily_injury,0.0216,0.018,1.050836,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2028,property_damage,0.0162,0.018,1.050836,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2028,vehicle_repair,0.0198,0.018,1.050836,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2028,general,0.018,0.018,1.050836,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2029,bodily_injury,0.0216,0.018,1.069751,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2029,property_damage,0.0162,0.018,1.069751,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2029,vehicle_repair,0.0198,0.018,1.069751,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2029,general,0.018,0.018,1.069751,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2030,bodily_injury,0.024,0.02,1.091146,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2030,property_damage,0.018,0.02,1.091146,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2030,vehicle_repair,0.022,0.02,1.091146,Illustrative assumption for projecting claim severities by scenario and claim type.
LOW_INFLATION,Low Inflation,2030,general,0.02,0.02,1.091146,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2026,bodily_injury,0.072,0.06,1.06,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2026,property_damage,0.054,0.06,1.06,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2026,vehicle_repair,0.066,0.06,1.06,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2026,general,0.06,0.06,1.06,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2027,bodily_injury,0.066,0.055,1.1183,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2027,property_damage,0.0495,0.055,1.1183,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2027,vehicle_repair,0.0605,0.055,1.1183,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2027,general,0.055,0.055,1.1183,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2028,bodily_injury,0.06,0.05,1.174215,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2028,property_damage,0.045,0.05,1.174215,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2028,vehicle_repair,0.055,0.05,1.174215,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2028,general,0.05,0.05,1.174215,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2029,bodily_injury,0.054,0.045,1.227055,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2029,property_damage,0.0405,0.045,1.227055,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2029,vehicle_repair,0.0495,0.045,1.227055,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2029,general,0.045,0.045,1.227055,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2030,bodily_injury,0.048,0.04,1.276137,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2030,property_damage,0.036,0.04,1.276137,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2030,vehicle_repair,0.044,0.04,1.276137,Illustrative assumption for projecting claim severities by scenario and claim type.
HIGH_INFLATION,High Inflation,2030,general,0.04,0.04,1.276137,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2026,bodily_injury,0.108,0.09,1.09,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2026,property_damage,0.081,0.09,1.09,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2026,vehicle_repair,0.099,0.09,1.09,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2026,general,0.09,0.09,1.09,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2027,bodily_injury,0.09,0.075,1.17175,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2027,property_damage,0.0675,0.075,1.17175,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2027,vehicle_repair,0.0825,0.075,1.17175,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2027,general,0.075,0.075,1.17175,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2028,bodily_injury,0.078,0.065,1.247914,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2028,property_damage,0.0585,0.065,1.247914,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2028,vehicle_repair,0.0715,0.065,1.247914,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2028,general,0.065,0.065,1.247914,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2029,bodily_injury,0.066,0.055,1.316549,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2029,property_damage,0.0495,0.055,1.316549,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2029,vehicle_repair,0.0605,0.055,1.316549,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2029,general,0.055,0.055,1.316549,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2030,bodily_injury,0.054,0.045,1.375794,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2030,property_damage,0.0405,0.045,1.375794,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2030,vehicle_repair,0.0495,0.045,1.375794,Illustrative assumption for projecting claim severities by scenario and claim type.
STRESS,Stress Scenario,2030,general,0.045,0.045,1.375794,Illustrative assumption for projecting claim severities by scenario and claim type.
